timestamp,person_id,name,confidence,event,screenshot
2026-02-11 06:23:58,P0002,Person 2,0.09,enrolled,known_faces\P0002_20260211_062358.jpg
2026-02-11 06:23:58,P0002,Person 2,0.51,seen,
2026-02-11 06:23:59,P0002,Person 2,0.96,seen,
2026-02-11 06:23:59,P0002,Person 2,0.51,seen,
2026-02-11 06:23:59,P0001,Jun,0.51,seen,
2026-02-11 06:23:59,P0002,Person 2,0.93,seen,
2026-02-11 06:23:59,P0002,Person 2,0.44,seen,
2026-02-11 06:23:59,P0002,Person 2,0.94,seen,
2026-02-11 06:23:59,P0002,Person 2,0.44,seen,
2026-02-11 06:24:00,P0002,Person 2,0.94,seen,
2026-02-11 06:24:00,P0002,Person 2,0.45,seen,
2026-02-11 06:24:00,P0001,Jun,0.47,seen,
2026-02-11 06:24:00,P0002,Person 2,0.94,seen,
2026-02-11 06:24:00,P0002,Person 2,0.45,seen,
2026-02-11 06:24:00,P0002,Person 2,0.94,seen,
2026-02-11 06:24:00,P0002,Person 2,0.44,seen,
2026-02-11 06:24:00,P0002,Person 2,0.93,seen,
2026-02-11 06:24:00,P0002,Person 2,0.43,seen,
2026-02-11 06:24:01,P0002,Person 2,0.94,seen,
2026-02-11 06:24:01,P0002,Person 2,0.45,seen,
2026-02-11 06:24:01,P0002,Person 2,0.94,seen,
2026-02-11 06:24:01,P0002,Person 2,0.44,seen,
2026-02-11 06:24:01,P0002,Person 2,0.94,seen,
2026-02-11 06:24:01,P0002,Person 2,0.46,seen,
2026-02-11 06:24:02,P0002,Person 2,0.95,seen,
2026-02-11 06:24:02,P0002,Person 2,0.46,seen,
2026-02-11 06:24:02,P0002,Person 2,0.94,seen,
2026-02-11 06:24:02,P0002,Person 2,0.46,seen,
2026-02-11 06:24:02,P0002,Person 2,0.92,seen,
2026-02-11 06:24:02,P0002,Person 2,0.46,seen,
2026-02-11 06:24:02,P0002,Person 2,0.93,seen,
2026-02-11 06:24:03,P0002,Person 2,0.48,seen,
2026-02-11 06:24:03,P0002,Person 2,0.88,seen,
2026-02-11 06:24:03,P0002,Person 2,0.49,seen,
2026-02-11 06:24:03,P0002,Person 2,0.88,seen,
2026-02-11 06:24:03,P0002,Person 2,0.48,seen,
2026-02-11 06:24:03,P0002,Person 2,0.88,seen,
